user_query,expected_responses,SOURCE
What happens if a driver fails to renew their license before it expires?,"If a driver fails to renew their license after expiration, penalties and additional fees. Driving with an expired license is also a separate violation subject to fines.",Republic Act No. 10930
What is the penalty for overloading a truck beyond its prescribed weight?,Trucks loaded beyond their prescribed gross weight are subject to fines calculated based on the excess weight and may face registration suspension.,Republic Act No. 8794
Whats are the penalties for distracted driving,"A fine of five thousand pesos (Php5,000.00) for the first offense. A fine of ten thousand pesos (Php10,000.00) for the second offense. A fine of fifteen thousand pesos (Php15,000.00) and suspension of driver’s license for three (3) months for the third offense. A fine of twenty thousand pesos (Php20,000.00) and revocation of driver’s license for the fourth and succeeding offense",
What is the first offense penalty for distracted driving?,"A fine of five thousand pesos (Php5,000.00)",REPUBLIC ACT No. 10913
What is the second offense penalty for distracted driving?,"A fine of ten thousand pesos (Php10,000.00)",REPUBLIC ACT No. 10913
What is the third offense penalty for distracted driving?,"A fine of fifteen thousand pesos (Php15,000.00) and suspension of driver’s license for three (3) months",REPUBLIC ACT No. 10913
When is someone allowed to use a phone or device while driving?,"Emergency situations and emergency vehicle operators are exempt. This includes motorists making emergency calls to law enforcement, healthcare providers, or fire departments, and drivers operating ambulances, fire trucks, or other emergency vehicles in the course of their duties.",REPUBLIC ACT No. 10913
What are green routes?,"Green routes refer to public transportation routes identified and designated by provinces, cities, and municipalities and approved by the Department of Transportation (DOTr) to be exclusively traversed by electric public utility vehicles (PUVs);","REPUBLIC ACT NO. 11697,"
Do I need to register my electric bike if I only use it personally?,"No, light electric vehicles for exclusive private use are not required to be registered","REPUBLIC ACT NO. 11697,"
Are right hand drive cars allowed in the philippines?,"No, registering and importing right hand drive vehicles are prohibited except for certain exemptions like vintage automobiles or motorsports vehicles.",Republic Act No. 8506
I want to import a Japanese car with the steering wheel on the right side. Is that allowed?,"No, registering and importing right hand drive vehicles are prohibited except for certain exemptions like vintage automobiles or motorsports vehicles.",Republic Act No. 8506
What is the blood alcohol content (BAC) limit for drivers?,"0.05% for drivers of private vehicles and 0.00% for drivers of trucks, buses, motorcycles and public utility vehicles,","IRR-RA10586, FDM-vol.-2-2nd-Edition"
What do you do during a field sobriety test?,"During a Field Sobriety the officer will instruct you to perform a series of task to initially assess and determine intoxication. The Eye Test (""horizontal gaze nystagmus"") refers to horizontal or lateral jerking of the driver's eyes as he or she gazes sideways following a moving object such as a pen or the tip of a penlight held by the officer from a distance of about one (1) foot away from the face of the driver. The Walk-and-Turn requires the driver to walk heel-to-toe along a straight line for nine (9) steps, tum at the end and return to the point of origin without any difficulty. The One-Leg Stand requires the driver to stand on either right or left leg with both arms on the side. The driver is instructed to keep the foot raised about six (6) inches off the
ground for thirty (30) seconds.","IRR-RA10586, FDM-vol.-2-2nd-Edition"
Are PUVs required to have speed limiters installed?,"Yes, Public Utility Vehicles (PUVs) are required to have speed limiters under REPUBLIC ACT No. 10916","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
What vehicles are required to have speed limiters installed?,"Closed vans, haulers or cargo trailers, public utility vehicles, shuttle services, and tanker trucks","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
What is the fine and imprisonment penalty for tampering with a speed limiter?,"Imprisonment of six (6) months to three (3) years and a fine of Php30,000.00","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
Whats are the penalties for failing to comply with the speed limiter regulation?,"Fifty Thousand Pesos (Php 50,000.00) fine and a (1) one month suspension of the driver’s license or a three-month suspension of the vehicle’s franchise for the first offense. Fifty Thousand Pesos (Php 50,000.00) fine and a (3) three month suspension of the driver’s license or a (6) six month suspension of the vehicle’s franchise for the second offense. Fifty Thousand Pesos (Php 50,000.00) fine and revocation driver’s license or a (1) one year suspension of the vehicle’s franchise for repeat offenders","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
What is the penalty for a first-time offender of the speed limiter regulation?,"A Fifty Thousand Pesos (Php 50,000.00) fine and a (1) one month suspension of the driver’s license or a three-month suspension of the vehicle’s franchise.","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
What is the penalty for a second-time offender of the speed limiter regulation?,"A Fifty Thousand Pesos (Php 50,000.00) fine and a (3) three month suspension of the driver’s license or a (6) six month suspension of the vehicle’s franchise.","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
What happens to repeat offenders of the speed limiter regulation?,"A Fifty Thousand Pesos (Php 50,000.00) fine and revocation driver’s license or a (1) one year suspension of the vehicle’s franchise.","REPUBLIC ACT No. 10916,  FDM-vol.-2-2nd-Edition"
Are motorcycle riders required to wear helmets even on short-distance rides?,"All motorcycle riders, including drivers and back riders, shall at all times wear standard protective motorcycle helmets while driving, whether long or short drives, in any type of road and highway.",Republic Act No. 10054
What is the penalty for the first offense of failing to secure a child in a restraint system?,"A fine of One thousand pesos (Php1,000.00) shall be imposed for the first offense.",Republic Act No. 11229
What is the penalty for the second offense of failing to secure a child in a restraint system?,"A fine of Two thousand pesos (Php2,000.00) shall be imposed for the second offense.",Republic Act No. 11229
What is the penalty for the third and succeeding offenses of failing to secure a child in a restraint system?,"A fine of Five thousand pesos (Php5,000.00) and suspension of the driver’s license for one (1) year shall be imposed for the third and succeeding offenses.",Republic Act No. 11229
Are there exceptions to the prohibition on children riding motorcycles?,The prohibition shall not apply in cases of emergency when the child to be transported requires immediate medical attention.,Republic Act No. 10666
What happens if I get caught the first time carrying a child on a motorcycle?,"A fine of Three thousand pesos (Php3,000.00) shall be imposed for the first offense.",Republic Act No. 10666
What’s the penalty if I’m caught again letting a child ride on my motorcycle?,"A fine of Five thousand pesos (Php5,000.00) shall be imposed for the second offense.",Republic Act No. 10666
What will happen if I keep violating the law about children riding on motorcycles?,"A fine of Ten thousand pesos (Php10,000.00) and suspension of the driver’s license for one (1) month shall be imposed for the third and succeeding offenses.",Republic Act No. 10666
What is the penalty for driving under the influence of alcohol if no one is hurt?,"If a person is found driving under the influence without causing physical injuries or homicide, the penalty shall be imprisonment for three (3) months and a fine ranging from Twenty Thousand Pesos (Php20,000.00) to Eighty Thousand Pesos (Php80,000.00).",Republic Act No. 10586
What is the penalty if drunk driving causes physical injuries or death?,"If the violation results in physical injuries, a fine ranging from One Hundred Thousand Pesos (Php100,000.00) to Two Hundred Thousand Pesos (Php200,000.00) shall be imposed. In cases where driving under the influence results in homicide, the fine shall range from Three Hundred Thousand Pesos (Php300,000.00) to Five Hundred Thousand Pesos (Php500,000.00).",Republic Act No. 10586
What happens to the driver’s license if someone is caught driving under the influence?,Non-professional license holders will have their license confiscated and suspended for a period of twelve (12) months for the first conviction and perpetually revoked for the second conviction. Professional license holders will have their license confiscated and perpetually revoked for the first conviction.,Republic Act No. 10586
What is the penalty for a first offense of not wearing a seat belt while driving?,"A driver or front-seat passenger who fails to wear a seat belt for the first offense shall be fined between One Hundred Pesos (Php100.00) and One Thousand Pesos (Php1,000.00).",Republic Act No. 8750
What is the penalty for a second offense of not wearing a seat belt?,"For the second offense, the violator shall be fined between Two Hundred Pesos (Php200.00) and Two Thousand Pesos (Php2,000.00).",Republic Act No. 8750
What happens to a driver who repeatedly violates the seat belt law?,"For the third and succeeding offenses, the violator shall be fined between Five Hundred Pesos (Php500.00) and Five Thousand Pesos (Php5,000.00) and shall have their driver’s license suspended for one (1) week.",Republic Act No. 8750
Are drivers and front-seat passengers required to wear seat belts at all times?,"Yes. The driver and front-seat passengers of a motor vehicle are required to wear seat belts while inside a running vehicle on any street, road, or highway.",Republic Act No. 8750
Can a private vehicle use sirens or blinkers in the Philippines?,"No. The use of sirens, bells, horns, whistles, blinkers, or similar gadgets that produce exceptionally loud or startling sounds is prohibited on private motor vehicles. Only authorized emergency and government vehicles are allowed.",Presidential Decree No. 96
Do electric cars need to follow the number coding scheme?,No. Electric and hybrid vehicles are exempt from the number-coding scheme or any similar traffic reduction program.,"REPUBLIC ACT NO. 11697,"
"I got caught hiring a fixer to get my license, what penalties am i facing?","If you are caught hiring a fixer to obtain your driver’s license, you may face a fine of twenty thousand pesos (Php20,000.00). This penalty applies to applicants found guilty of any of the following acts: willful misrepresentation of material information in their application, connivance with an officer in the irregular conduct of examinations or issuance of a license, falsification of documents, or cheating during examinations.",REPUBLIC ACT No. 10930
Whats the minimum engine displacement for motorcycles to enter expressways?,Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways,"FDM-Vol.-1-2nd-Edition, DO_123_S2001"
"I have a 300cc motorcycle, am i allowed to enter expressways?","No, Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways","FDM-Vol.-1-2nd-Edition, DO_123_S2001"
"I have a 500cc motorcycle, am i allowed to enter expressways?","Yes, Motorcycles should have at least 400cc (cubic centimeters) of engine displacement to be allowed on expressways","FDM-Vol.-1-2nd-Edition, DO_123_S2001"
Can I use earbuds while driving?,"Yes, however using it other than taking phone calls might constitute as distracted driving",Republic Act No. 10913
Can I refuse to take a breathalyzer test?,Refusal can lead to the confiscation and automatic revocation of driver’s license.,REPUBLIC ACT No. 10586
Am i allowed to lane split when riding a motorcycle?,Lane splitting is prohibited on roads or highways.,LTO ADMINISTRATIVE ORDER NO. AHS-2008-015.pdf
What happens if I fail one of the three test on the field sobriety test?,"If you fail one of the three tests on the field sobriety test, the law enforcement officer shall proceed to determine your Blood Alcohol Concentration (BAC) level through the use of an Alcohol Breath Analyzer (ABA) on site",REPUBLIC ACT No. 10586
"Can I do a u turn on double solid yellow
line?","No, double solid yellow lines mean no crossing or overtaking",FDM-Vol.-1-2nd-Edition
Where and how far should i put the early warning device in case of a breakdown?,The EWD (early warning device) 4 meters at the front and 4 meters at the rear of the stalled vehicle.,FDM-Vol.-1-2nd-Edition
How long is my student permit valid?,The student-driver's permit is valid for a period of one (1) year ,IRR of Republic Act No. 10930
What is the speed limit for cars on open country roads?,80 km/h for passenger cars and motorcycles; 50 km/h for trucks and buses on open country roads.,Republic Act No. 4136
When must a vehicle be registered again to avoid delinquency?,Registration becomes delinquent if not renewed by the last working day of the assigned month based on vehicle classification.,Republic Act No. 4136
What is the fine for driving without a valid driver’s license?,"A fine of Php 3,000.00 and disqualification from being granted a driver’s license and driving a motor vehicle for a period of one (1) year from the payment of the fine.",FDM-vol.-2-2nd-Edition
What is the penalty for not wearing a standard motorcycle helmet?,"Php1,500 for first offense, Php3,000 for second, Php5,000 for third, and Php10,000 plus license confiscation for fourth offense.",Republic Act No. 10054
What kind of helmets are allowed under the Motorcycle Helmet Act of 2009?,Only helmets bearing the DTI’s PS or ICC certification marks are allowed for use and sale.,Republic Act No. 10054
Are tricycle drivers required to wear helmets?,"No, tricycle drivers are exempted from the mandatory helmet requirement.",Republic Act No. 10054
What age of children are prohibited from sitting in the front seat?,Children aged six years and below are not allowed to sit in the front seat of any motor vehicle.,Republic Act No. 8750
Is it mandatory for manufacturers to install seat belts before selling vehicles?,"Yes, all vehicle manufacturers must install seat belt devices before distribution and sale.",Republic Act No. 8750
What does a single yellow line with broken white lines mean?,No overtaking but crossing is allowed on the side of the solid yellow line. Overtaking and crossing is allowed on the side of the broken white line,FDM-Vol.-1-2nd-Edition
What is the fine for using a mobile phone while driving?,"A fine of five thousand pesos (Php5,000.00) for the first offense. A fine of ten thousand pesos (Php10,000.00) for the second offense. A fine of fifteen thousand pesos (Php15,000.00) and suspension of driver’s license for three (3) months for the third offense. A fine of twenty thousand pesos (Php20,000.00) and revocation of driver’s license for the fourth and succeeding offense",Republic Act No. 10913
Can right-hand drive vehicles be registered in the Philippines?,"No, registration and operation of right-hand drive vehicles are prohibited, except for motorsports, vintage or off-road use.",Republic Act No. 8506
What is the fine for not wearing a seat belt while driving?,"Php1,000 for first offense, Php2,000 for second, Php5,000 and one-week license suspension for third and subsequent offenses.",Republic Act No. 8750
What is required for motorcycles to enter expressways?,Motorcycles must have an engine displacement of at least 400cc to be allowed on expressways.,"Department Order No. 123, s. 2001"
Are speed limiters required for all vehicles?,"No, only certain types of vehicles are required to have speed limiters installed. These include closed vans, haulers or cargo trailers, (PUVs) Public Utility Vehicles, shuttle services, and tanker trucks.",Republic Act No. 10916
What does a flashing red light mean?,It means means bring your vehicle to a STOP and proceed only when it is safe.,FDM-Vol.-1-2nd-Edition
What does a flashing green light mean?,It means proceed with caution and be prepared for pedestrians who might cross the street. This signal is usually seen on intersections where pedestrian crossing button is available.,FDM-Vol.-1-2nd-Edition
What is the speed limit in a school zone?,20 km/h,FDM-Vol.-1-2nd-Edition
Are backriders on motorcycles required to wear helmets?,"Yes, under the Motorcycle Helmet Act of 2009 (RA 10054)",Republic Act No. 10054
When can I overtake on the opposite lane on a two-lane road?,Check if the left lane is clear and if the road markings allow it. You can only overtake on the opposite lane if the pavement is marked with BROKEN WHITE or YELLOW LINES,FDM-Vol.-1-2nd-Edition
"If I got caught driving with an expired or/cr or registration, Whats are the fines and penalties","The fine for driving with an unregistered or expired vehicle registration is ₱10,000.00. If the violation exceeds one (1) month, the vehicle will be impounded and released only after valid registration and payment of all fines and penalties. If the vehicle has an undocumented engine, it will be impounded and barred from registration for one (1) year, and the undocumented engine will be confiscated in favor of the government.",FDM-Vol.-1-2nd-Edition
